"","Ano","Codigo_Programa","Codigo_Actividad_u_Obra","Vigente","Devengado","Codigo_Economico_Nivel_4","Codigo_Departamento","Codigo_Municipio","Codigo_Fuente_agregada","Codigo_Renglon","ej"
"138775",2016,11,1102000002000,14400,6734.88,2112000,4,404,10,122,0
"138776",2016,11,1102000002000,18400,8605.68,2112000,4,405,10,122,0
"138777",2016,11,1102000002000,41600,19456.32,2112000,4,406,10,122,0
"138778",2016,11,1102000002000,27200,12721.44,2112000,4,407,10,122,0
"138779",2016,11,1102000002000,3200,1496.64,2112000,4,409,10,122,0
"138780",2016,11,1102000002000,2400,1122.48,2112000,4,410,10,122,0
"138781",2016,11,1102000002000,3200,1496.64,2112000,4,411,10,122,0
"138782",2016,11,1102000002000,3200,1496.64,2112000,4,413,10,122,0
"138783",2016,11,1102000002000,4000,1870.8,2112000,4,415,10,122,0
"138784",2016,11,1102000002000,7840,6186.88,2112000,5,511,10,122,0
"138785",2016,11,1102000002000,5440,2744.48,2112000,6,607,10,122,0
"138786",2016,11,1102000002000,4800,2421.6,2112000,6,608,10,122,0
